position,player_name,total_score,r2_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw
1,"McIlroy, Rory",-11,-6,2.151,0.413,3.643,0.467,4.523,6.674,316,0.5,0.77778,32.9339
2,"Rose, Justin",-11,-1,2.082,0.02,-1.043,0.615,-0.408,1.674,289.2,0.85714,0.55556,66.6944
3,"Reed, Patrick",-9,-2,0.113,3.286,-1.178,0.453,2.561,2.674,296.2,0.85714,0.61111,52.2363
4,"Scheffler, Scottie",-8,-1,-0.958,1.878,1.319,-0.566,2.632,1.674,299.9,0.71429,0.66667,30.2704
T5,"Im, Sungjae",-7,-2,1.463,1.047,-0.113,0.276,1.21,2.674,298.2,0.78571,0.77778,39.6705
T5,"DeChambeau, Bryson",-7,-4,1.758,3.169,-0.776,0.523,2.915,4.674,298.9,0.78571,0.61111,47.7769
7,"Aberg, Ludvig",-6,1,-0.907,0.926,-0.508,0.163,0.581,-0.326,306.4,0.71429,0.61111,30.9123
T8,"Day, Jason",-5,-2,1.356,0.937,1.208,-0.827,1.317,2.674,287.6,0.57143,0.66667,30.8696
T8,"Schauffele, Xander",-5,-3,-0.569,-0.033,3.952,0.323,4.242,3.674,305.1,0.64286,0.88889,20.7086
T8,"Conners, Corey",-5,-2,-0.195,-0.115,2.318,0.665,2.868,2.674,295,0.85714,0.88889,40.7558
T8,"Johnson, Zach",-5,2,0.499,0.376,-1.371,-0.83,-1.825,-1.326,284.7,0.85714,0.44444,46.6013
T12,"English, Harris",-4,1,0.388,0.28,1.064,-2.058,-0.714,-0.326,295.3,0.64286,0.61111,29.4296
T12,"Homa, Max",-4,-2,2.93,-0.12,0.987,-1.123,-0.256,2.674,303.1,0.57143,0.55556,41.0397
T14,"Rahm, Jon",-3,-1,-0.24,2.272,-0.17,-0.188,1.914,1.674,305.3,0.57143,0.66667,38.1442
T14,"Watson, Bubba",-3,0,1.927,-0.867,-1.028,0.641,-1.254,0.674,296.9,0.71429,0.5,51.8004
T14,"Morikawa, Collin",-3,-3,0.733,0.567,1.908,0.466,2.94,3.674,297.8,0.78571,0.61111,28.9861
T14,"Spieth, Jordan",-3,1,0.278,1.725,-3.487,1.158,-0.605,-0.326,300.2,0.85714,0.5,45.5942
