position,player_name,total_score,r1_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw
1,"McIlroy, Rory",-11,0,-1.108,-0.932,2.045,1.584,2.697,1.589,318.5,0.71429,0.61111,31.081
2,"Rose, Justin",-11,-7,5.27,1.643,2.785,-1.108,3.32,8.589,293.6,0.64286,0.77778,26.4087
3,"Reed, Patrick",-9,-1,-0.623,0.147,2.018,1.047,3.212,2.589,297.2,0.92857,0.72222,34.6933
4,"Scheffler, Scottie",-8,-4,2.902,1.163,0.537,0.988,2.688,5.589,306.7,0.71429,0.61111,42.4736
T5,"Im, Sungjae",-7,-1,2.604,0.111,-0.097,-0.028,-0.014,2.589,302.4,0.64286,0.55556,26.4601
T5,"DeChambeau, Bryson",-7,-3,1.678,0.537,1.435,0.94,2.912,4.589,316,0.78571,0.66667,38.5242
7,"Aberg, Ludvig",-6,-4,0.325,1.873,1.311,2.08,5.264,5.589,315.4,0.85714,0.83333,24.0337
T8,"Day, Jason",-5,-2,-0.345,1.582,1.944,0.409,3.935,3.589,292.9,0.85714,0.83333,40.5687
T8,"Schauffele, Xander",-5,1,-0.885,0.637,-0.12,0.958,1.475,0.589,306.9,0.78571,0.72222,34.7074
T8,"Conners, Corey",-5,-4,2.879,1.801,0.423,0.487,2.711,5.589,288.7,0.92857,0.77778,47.7524
T8,"Johnson, Zach",-5,0,0.545,1.199,-0.377,0.223,1.045,1.589,280.7,0.92857,0.77778,39.9127
T12,"English, Harris",-4,-2,0.295,0.367,3.39,-0.462,3.295,3.589,299.8,0.57143,0.88889,31.2172
T12,"Homa, Max",-4,2,0.942,-1.336,0.123,-0.139,-1.353,-0.411,307,0.64286,0.66667,31.2267
T14,"Rahm, Jon",-3,3,-2.335,1.139,-0.195,-0.018,0.925,-1.411,299.3,0.64286,0.55556,36.2036
T14,"Watson, Bubba",-3,-1,1.758,0.194,0.796,-0.16,0.831,2.589,298.4,0.71429,0.72222,35.9984
T14,"Morikawa, Collin",-3,0,0.469,-0.929,0.825,1.224,1.12,1.589,300.3,0.85714,0.5,37.6106
T14,"Spieth, Jordan",-3,1,2.235,-0.379,-2.048,0.782,-1.645,0.589,299.6,0.71429,0.66667,44.962
T14,"Hoge, Tom",-3,0,3.668,-4.198,0.95,1.17,-2.078,1.589,301.4,0.92857,0.61111,26.9408
T14,"Hatton, Tyrrell",-3,-3,-0.09,1.563,2.835,0.281,4.679,4.589,304.3,0.78571,0.72222,29.5164
T14,"McCarty, Matt",-3,-1,-1.925,0.874,3.708,-0.067,4.515,2.589,299.4,0.71429,0.72222,42.2447
T21,"Fleetwood, Tommy",-2,1,-2.978,0.782,2.091,0.695,3.568,0.589,299.8,0.85714,0.66667,44.2444
T21,"Matsuyama, Hideki",-2,1,-1.41,1.563,-0.201,0.638,2,0.589,307.9,0.71429,0.83333,30.8736
T21,"Hovland, Viktor",-2,-1,2.021,-0.923,1.564,-0.072,0.569,2.589,302.1,0.71429,0.72222,37.2842
T21,"Riley, Davis",-2,1,0.089,-0.142,2.227,-1.584,0.501,0.589,302.1,0.5,0.61111,35.5979
T21,"Berger, Daniel",-2,-1,0.381,1.578,0.532,0.098,2.208,2.589,303.5,0.85714,0.72222,41.0229
T21,"An, Byeong Hun",-2,2,1.17,1.025,-2.417,-0.188,-1.58,-0.411,305.9,0.64286,0.55556,32.1052
T27,"Rai, Aaron",-1,-2,-1.206,2.49,1.081,1.224,4.795,3.589,291.8,1,0.61111,42.0207
T27,"Kim, Michael",-1,-1,1.802,0.143,1.539,-0.895,0.787,2.589,295.8,0.42857,0.61111,40.1785
T29,"McCarthy, Denny",0,-1,0.747,0.784,1.678,-0.62,1.843,2.589,293.2,0.78571,0.72222,38.3966
T29,"Niemann, Joaquin",0,0,0.953,-0.912,0.862,0.687,0.637,1.589,313.9,0.71429,0.72222,32.9487
T29,"Theegala, Sahith",0,0,1.244,-0.008,1.035,-0.681,0.346,1.589,304.5,0.57143,0.72222,37.0191
T32,"McNealy, Maverick",1,0,-0.992,2.915,-0.737,0.402,2.581,1.589,309.4,0.71429,0.61111,43.167
T32,"Greyserman, Max",1,-1,3.678,1.051,-2.096,-0.044,-1.089,2.589,308.3,0.71429,0.5,52.7788
T32,"Campbell, Brian",1,0,0.685,0.866,-0.381,0.419,0.904,1.589,288.5,0.92857,0.61111,47.7056
T32,"Hojgaard, Rasmus",1,1,-0.366,-0.611,0.312,1.255,0.956,0.589,316.1,0.64286,0.77778,44.5449
T36,"Thomas, Justin",2,1,2.802,-0.575,0.001,-1.639,-2.213,0.589,293.4,0.5,0.61111,45.083
T36,"Cantlay, Patrick",2,2,-0.187,-2.213,0.926,1.064,-0.224,-0.411,316.2,0.57143,0.66667,39.0184
T36,"Harman, Brian",2,-1,1.551,-0.523,0.9,0.661,1.039,2.589,285.7,0.92857,0.77778,37.1863
T36,"Schwartzel, Charl",2,2,-0.009,0.668,-1.635,0.565,-0.401,-0.411,296.6,0.78571,0.66667,50.0381
T40,"Fitzpatrick, Matt",3,-1,-0.188,-0.468,2.216,1.029,2.777,2.589,305,0.85714,0.77778,24.6571
T40,"Taylor, Nick",3,1,0.48,0.332,-0.579,0.356,0.109,0.589,298.7,0.71429,0.61111,42.5275
T42,"Willett, Danny",4,3,-0.952,0.457,-0.654,-0.262,-0.458,-1.411,295.4,0.78571,0.72222,60.3447
T42,"Bhatia, Akshay",4,-2,1.346,1.397,0.623,0.224,2.243,3.589,303.5,0.64286,0.61111,38.4904
T42,"Poston, J.T.",4,2,-1.336,0.164,0.334,0.427,0.925,-0.411,288,0.85714,0.77778,51.9055
T42,"Lowry, Shane",4,-1,0.755,0.011,2.234,-0.41,1.835,2.589,301.3,0.57143,0.61111,48.3767
T46,"Burns, Sam",5,1,2.786,-1.783,0.005,-0.418,-2.196,0.589,303.7,0.71429,0.66667,40.272
T46,"Clark, Wyndham",5,4,-1.19,-0.678,-0.468,-0.075,-1.22,-2.411,303.5,0.64286,0.61111,38.147
T46,"Thompson, Davis",5,-1,-0.91,1.153,2.774,-0.427,3.499,2.589,299.5,0.78571,0.77778,32.8997
49,"Lee, Min Woo",6,-1,0.394,0.987,1.223,-0.015,2.195,2.589,313.7,0.64286,0.83333,31.6303
50,"Spaun, J.J.",7,2,-0.969,-0.464,0.031,0.991,0.559,-0.411,299.6,0.85714,0.83333,39.4103
51,"Echavarria, Nico",8,1,1.872,0.511,-0.286,-1.509,-1.283,0.589,289.5,0.64286,0.5,39.7015
T52,"Jaeger, Stephan",9,0,2.226,-0.269,0.795,-1.162,-0.636,1.589,312.5,0.57143,0.77778,38.4731
T52,"Kim, Tom",9,1,0.033,0.449,0.773,-0.665,0.556,0.589,295,0.71429,0.5,34.791
