School,TeamName,KenpomRank,SOS,Win %,Confrence,Avg.Exp,Scoring Margin,NET,KenPomO,PPG,OpposingKenPomD,FT%,FTA,FG%,FGA,FGM,3pt%,3ptm,3pta,2pt%,2ptm,2pta,Assists,Turnovers,Efg%,Adj.Tempo,Offensive Rebounds,PPGA,KenPomD,OpposingKenPomO,Rebounds,Forced Turnovers,Blocks,Opp fg%,Opp fgm,Opp fga,Opp 3pt%,Opp 3ptm,Opp 3pta,Opp 2pt%,Opp 2ptm,Opp 2pta,OPP Efg%,Opponent rebounds,OpponentOffensiveRebounds,OFTA,Assists/TO Ratio
SIUE,Cougars,-4.32,344,0.67,OVC,3.00,6.50,216,102.30,72.60,110.70,0.68,19.33,0.43,60.03,26.00,0.34,7.50,21.94,0.49,18.55,38.09,13.70,11.40,0.49,66.10,9.60,66.70,106.60,101.80,38.50,12.70,4.00,0.40,23.00,57.21,0.33,7.30,22.24,0.45,15.73,34.97,0.48,35.50,8.60,18.15,1.20
Omaha,Mavericks,0.51,244,0.65,Summit,3.00,3.00,160,111.40,78.10,109.60,0.72,21.32,0.47,58.26,27.10,0.37,8.30,22.71,0.53,18.82,35.56,13.40,10.90,0.54,67.90,8.50,75.00,111.00,107.20,35.60,10.40,2.40,0.45,25.60,57.15,0.35,8.70,25.15,0.53,16.88,32.00,0.53,32.70,6.70,21.18,1.23
High Point,Panthers,9.30,209,0.85,Big South,3.55,13.40,82,118.80,82.20,110.20,0.76,21.62,0.49,58.18,28.70,0.36,8.20,22.65,0.58,20.50,35.56,13.00,10.40,0.56,66.60,9.50,68.80,109.50,104.90,36.40,11.70,2.90,0.43,24.10,56.50,0.33,6.60,20.24,0.46,16.56,36.26,0.49,30.70,8.80,20.00,1.25
Lipscomb,Bisons,9.49,258,0.74,ASUN,3.08,12.00,84,113.10,79.30,110.60,0.79,17.88,0.47,58.35,27.60,0.36,9.90,27.53,0.58,17.74,30.82,15.10,9.50,0.56,66.10,6.30,67.30,103.60,106.10,35.90,11.10,3.10,0.42,25.80,61.00,0.31,7.10,22.91,0.49,18.71,38.09,0.49,33.90,8.70,13.06,1.59
Drake,Bulldogs,14.40,143,0.91,MVC,3.78,11.70,56,113.00,70.10,108.00,0.71,21.39,0.48,50.27,24.20,0.36,6.60,18.70,0.56,17.55,31.58,13.30,11.20,0.54,59.00,9.20,58.40,98.80,107.70,31.00,13.80,2.40,0.44,20.60,46.61,0.31,5.60,18.18,0.53,14.97,28.42,0.52,25.10,5.70,16.03,1.19
Wofford,Terriors,4.16,131,0.56,Southern,2.89,5.50,131,114.10,75.30,107.70,0.66,18.15,0.45,59.21,26.80,0.34,9.70,28.41,0.54,17.15,31.73,15.00,10.90,0.53,64.20,10.40,69.80,109.90,107.20,38.40,10.30,2.60,0.44,23.90,55.03,0.34,8.60,25.56,0.52,15.26,29.47,0.52,30.70,7.40,19.29,1.38
Troy,Trojans,6.88,180,0.70,Sun Belt,2.58,8.50,99,108.00,73.90,108.50,0.72,22.18,0.44,57.30,25.10,0.30,7.70,25.64,0.55,17.45,31.67,13.90,13.50,0.50,66.40,11.80,65.40,101.10,105.80,38.60,13.70,4.70,0.40,23.10,57.30,0.32,6.90,21.45,0.45,16.21,35.85,0.47,33.00,9.40,17.18,1.03
St.Francis PA,Red Flash,-12.76,269,0.48,NEC,2.00,-0.50,297,99.90,71.10,108.60,0.73,13.33,0.46,57.70,26.60,0.34,8.20,24.24,0.55,18.39,33.45,14.20,12.90,0.52,67.10,7.20,71.60,112.60,101.90,34.00,11.20,2.40,0.43,25.80,59.61,0.31,7.90,25.61,0.52,17.85,34.00,0.51,34.40,9.10,16.55,1.10
Robert Morris,Colonials,2.09,283,0.76,Horizon,2.88,6.40,139,107.20,76.90,110.90,0.72,22.56,0.45,58.82,26.50,0.35,7.60,21.59,0.51,18.94,37.24,16.00,13.00,0.51,68.00,11.00,70.40,105.20,104.80,37.40,13.10,4.50,0.44,25.50,58.35,0.34,7.00,20.85,0.49,18.53,37.50,0.50,32.50,7.90,17.18,1.23
UNCW,Seahawks,5.14,177,0.79,CAA,3.89,9.50,102,112.60,79.40,109.60,0.75,22.06,0.47,58.94,27.80,0.34,7.30,21.53,0.55,20.50,37.41,15.20,11.00,0.52,65.50,10.50,69.90,107.40,105.10,38.70,11.70,3.50,0.43,24.90,58.12,0.34,8.20,24.50,0.50,16.74,33.62,0.51,31.40,8.20,17.29,1.38
